"learner","weight_space","measure","sampling","tuning_measure","holdout_measure","holdout_measure_residual","iteration_count","dataset","imba. rate"
"classif.ksvm",FALSE,"Accuracy",FALSE,0.945026178010471,0.903333333333333,0.399549803038829,1,"abalone","0.05"
"classif.ksvm",FALSE,"Accuracy",FALSE,0.942577796545822,0.881666666666667,0.39786156443444,2,"abalone","0.05"
"classif.ksvm",FALSE,"Accuracy",FALSE,0.945583940298935,0.901666666666667,0.391671356218346,3,"abalone","0.05"
"classif.ksvm",TRUE,"Accuracy",FALSE,0.93125,0.935,0.347214406302757,1,"abalone","0.05"
"classif.ksvm",TRUE,"Accuracy",FALSE,0.949583333333333,0.948333333333333,0.324704558244232,2,"abalone","0.05"
"classif.ksvm",TRUE,"Accuracy",FALSE,0.929166666666667,0.921666666666667,0.359032076533483,3,"abalone","0.05"
"classif.ksvm",FALSE,"Area under the curve",FALSE,0.978925667032164,0.70280701754386,0.597954880510686,1,"abalone","0.05"
"classif.ksvm",FALSE,"Area under the curve",FALSE,0.980757144080797,0.611345029239766,0.61474073237348,2,"abalone","0.05"
"classif.ksvm",FALSE,"Area under the curve",FALSE,0.980207191154971,0.649473684210526,0.612735003374259,3,"abalone","0.05"
"classif.ksvm",TRUE,"Area under the curve",FALSE,0.635679824561403,0.685730994152047,0.629384726337466,1,"abalone","0.05"
"classif.ksvm",TRUE,"Area under the curve",FALSE,0.681436403508772,0.626432748538012,0.592902181248389,2,"abalone","0.05"
"classif.ksvm",TRUE,"Area under the curve",FALSE,0.611732456140351,0.626666666666667,0.615627018400572,3,"abalone","0.05"
"classif.ksvm",FALSE,"F1 measure",FALSE,0.946741596262145,0.147058823529412,0.240569395017794,1,"abalone","0.05"
"classif.ksvm",FALSE,"F1 measure",FALSE,0.944535218338228,0.10126582278481,0.250700280112045,2,"abalone","0.05"
"classif.ksvm",FALSE,"F1 measure",FALSE,0.947263814754356,0.191780821917808,0.227305218012866,3,"abalone","0.05"
"classif.ksvm",TRUE,"F1 measure",FALSE,0.127473171291508,0.0882352941176471,0.188734455010973,1,"abalone","0.05"
"classif.ksvm",TRUE,"F1 measure",FALSE,0.092981709685859,0.225806451612903,0.192788815305372,2,"abalone","0.05"
"classif.ksvm",TRUE,"F1 measure",FALSE,0.0933876188291664,0.184615384615385,0.198830409356725,3,"abalone","0.05"
"classif.ksvm",FALSE,"G-mean",FALSE,0.944481484292176,0.396254392858488,0.363875843337328,1,"abalone","0.05"
"classif.ksvm",FALSE,"G-mean",FALSE,0.941926197008751,0.350438322025231,0.369959954096277,2,"abalone","0.05"
"classif.ksvm",FALSE,"G-mean",FALSE,0.945040638856554,0.467543036765676,0.351638926169239,3,"abalone","0.05"
"classif.ksvm",TRUE,"G-mean",FALSE,0.348600999731612,0.306365221790606,0.317322215547572,1,"abalone","0.05"
"classif.ksvm",TRUE,"G-mean",FALSE,0.311201311455389,0.472334008096684,0.322725334923399,2,"abalone","0.05"
"classif.ksvm",TRUE,"G-mean",FALSE,0.305814052024798,0.435688606006066,0.32762644200893,3,"abalone","0.05"
"classif.ksvm",FALSE,"Matthews correlation coefficient",FALSE,0.891346398482999,0.0973318398654142,0.122265224671961,1,"abalone","0.05"
"classif.ksvm",FALSE,"Matthews correlation coefficient",FALSE,0.886816688167583,0.0432823720563053,0.0965441040935959,2,"abalone","0.05"
"classif.ksvm",FALSE,"Matthews correlation coefficient",FALSE,0.892620321158035,0.14379146497625,0.101075367909397,3,"abalone","0.05"
"classif.ksvm",TRUE,"Matthews correlation coefficient",FALSE,0.0775106275471475,0.0345371044683728,0.0747344153208803,1,"abalone","0.05"
"classif.ksvm",TRUE,"Matthews correlation coefficient",FALSE,0.0459813030829383,-0.00937367276725226,0.0194608557785924,2,"abalone","0.05"
"classif.ksvm",TRUE,"Matthews correlation coefficient",FALSE,0.0425011980309362,0.138670435397517,0.100748644777572,3,"abalone","0.05"
"classif.randomForest",FALSE,"Accuracy",FALSE,0.941317626527051,0.901666666666667,0.401238041643219,1,"abalone","0.05"
"classif.randomForest",FALSE,"Accuracy",FALSE,0.940612301708893,0.906666666666667,0.38716938660664,2,"abalone","0.05"
